Date,Open,High,Low,Close,Adj Close,Volume
2022-11-08,395.000000,399.500000,394.000000,399.000000,390.564728,31838223
2022-11-09,403.500000,417.000000,403.500000,417.000000,408.184204,52260831
2022-11-10,409.000000,411.500000,406.000000,407.500000,398.885010,32044942
2022-11-11,441.500000,442.000000,435.000000,441.500000,432.166260,80016195
2022-11-14,450.000000,450.000000,441.500000,445.000000,435.592255,61933190
2022-11-15,465.000000,487.000000,462.000000,480.000000,469.852325,113379796
2022-11-16,491.500000,494.000000,481.500000,487.000000,476.704346,85726375
2022-11-17,482.500000,485.000000,475.000000,485.000000,474.746613,45144984
2022-11-18,491.500000,494.000000,486.000000,487.000000,476.704346,35859717
2022-11-21,487.500000,489.500000,480.500000,482.000000,471.810028,29710180
2022-11-22,476.000000,491.000000,476.000000,491.000000,480.619781,37343127
2022-11-23,494.500000,496.000000,488.500000,492.000000,481.598602,33475337
2022-11-24,494.000000,496.000000,492.000000,496.000000,485.514038,27396552
2022-11-25,494.000000,498.000000,494.000000,498.000000,487.471771,39949969
2022-11-28,486.000000,490.000000,480.500000,480.500000,470.341736,38926919
2022-11-29,473.500000,488.000000,473.000000,487.000000,476.704346,38182197
2022-11-30,483.000000,490.000000,482.500000,490.000000,479.640900,57111603
2022-12-01,506.000000,508.000000,498.500000,498.500000,487.961182,41746878
2022-12-02,490.000000,497.000000,490.000000,492.500000,482.088043,28319679
2022-12-05,491.500000,497.500000,489.000000,489.000000,478.662048,28360444
2022-12-06,488.000000,489.000000,478.000000,478.000000,467.894592,40561068
2022-12-07,477.000000,485.500000,475.000000,475.000000,464.958008,36563503
2022-12-08,475.000000,475.000000,467.000000,471.500000,461.532013,27238567
2022-12-09,478.000000,484.500000,476.000000,481.500000,471.320587,25915337
2022-12-12,476.500000,478.000000,473.500000,475.000000,464.958008,20973334
2022-12-13,473.000000,476.000000,471.000000,471.500000,461.532013,33272826
2022-12-14,472.000000,480.500000,472.000000,480.500000,470.341736,30636639
2022-12-15,476.000000,481.500000,474.500000,480.500000,473.049103,24222008
2022-12-16,466.500000,471.000000,465.500000,471.000000,463.696411,47601400
2022-12-19,466.500000,469.500000,465.000000,466.500000,459.266205,21075559
2022-12-20,465.000000,467.000000,455.000000,457.500000,450.405731,31139235
2022-12-21,460.000000,463.000000,457.000000,459.000000,451.882477,36182644
2022-12-22,466.500000,469.000000,464.000000,468.000000,460.742920,14047382
2022-12-23,457.500000,458.500000,455.000000,455.000000,447.944519,24927413
2022-12-26,454.000000,457.000000,453.500000,456.500000,449.421265,8793306
2022-12-27,458.000000,462.500000,457.000000,457.000000,449.913513,10264001
2022-12-28,451.000000,452.000000,446.000000,451.000000,444.006531,32578949
2022-12-29,444.000000,449.500000,442.500000,446.000000,439.084076,23020759
2022-12-30,455.000000,456.500000,448.500000,448.500000,441.545288,21683478
2023-01-03,446.000000,453.500000,443.000000,453.000000,445.975525,14885824
2023-01-04,449.500000,455.000000,448.500000,449.500000,442.529816,19188422
2023-01-05,459.000000,459.500000,455.000000,458.500000,451.390228,23549581
2023-01-06,455.000000,459.500000,455.000000,458.500000,451.390228,20886011
2023-01-09,468.000000,481.000000,467.500000,481.000000,473.541351,46666263
2023-01-10,486.000000,487.000000,483.000000,486.000000,478.463776,32646014
2023-01-11,487.000000,488.000000,482.000000,484.500000,476.987061,21051115
2023-01-12,487.500000,488.000000,484.000000,486.500000,478.956055,20963689
2023-01-13,507.000000,509.000000,499.000000,500.000000,492.246704,77606949
2023-01-16,506.000000,508.000000,503.000000,505.000000,497.169189,34373918
2023-01-17,504.000000,504.000000,499.500000,503.000000,495.200165,27770329
2023-01-30,542.000000,543.000000,534.000000,543.000000,534.579956,124428936
2023-01-31,537.000000,538.000000,521.000000,522.000000,513.905518,72530854
2023-02-01,532.000000,533.000000,522.000000,530.000000,521.781555,33710990
2023-02-02,538.000000,542.000000,537.000000,540.000000,531.626465,43077053
2023-02-03,540.000000,542.000000,536.000000,542.000000,533.595398,31635865
2023-02-06,532.000000,533.000000,526.000000,526.000000,517.843567,30870136
2023-02-07,524.000000,528.000000,522.000000,523.000000,514.890076,23481767
2023-02-08,538.000000,540.000000,534.000000,540.000000,531.626465,35096191
2023-02-09,540.000000,540.000000,536.000000,540.000000,531.626465,18861972
2023-02-10,544.000000,546.000000,541.000000,545.000000,536.548950,28495684
2023-02-13,544.000000,544.000000,538.000000,541.000000,532.610962,22768977
2023-02-14,544.000000,546.000000,543.000000,545.000000,536.548950,21883297
2023-02-15,526.000000,532.000000,522.000000,525.000000,516.859070,61796793
2023-02-16,528.000000,531.000000,524.000000,528.000000,519.812500,29975138
